drug_missing,intercept,slope,pearson.cor,p.value
RIF,-0.1258151906837796,0.6022977672223697,0.9383321651757303,3.753081346967478e-11
INH,-0.16834273352452894,0.569493853702327,0.8388456246379521,5.729305168914004e-7
PZA,-0.17449571861672997,0.5723804878399458,0.8344531520976866,1.3823509594160374e-6
MXF,-0.19987328315284222,0.5578843670474626,0.8406818237290548,1.8315098069274856e-6
CFZ,-0.1776086007129079,0.394466754132782,0.5618199835803626,0.005272865689476565
KAN,-0.24059213839223428,0.6377940465068141,0.8535217814010806,4.4197430616021616e-7
LZD,-0.181745494649137,0.5760783672418074,0.8380555792125021,1.127047993375235e-6
